product_link-href,manufacture_year,mileage,price,length_mm,engine_cc,aspiration,wheel_base_mm,width_mm,direct_injection,seat_capacity,peak_power_hp,fuel_type,steering_type,assembled,height_mm,peak_torque_nm,doors,brand,colour,model,tranmission
https://www.carlist.my/used-cars/2015-toyota-hilux-2-5-g-vnt-m-full-toyota-service-record/7872353,2015.0,250000.0,68800.0,5260.0,2494.0,Turbo intercooled,3085.0,1835.0,Direct Injection,5.0,144.0,Diesel,Rack and Pinion,Locally Built,1850.0,343.0,4.0,Toyota,Silver,Hilux,Manual
https://www.carlist.my/used-cars/2014-toyota-hilux-2-5-g-vnt-a-tip-top-condition-never-off-road-1yr-warranty/7780841,2014.0,5000.0,75800.0,5260.0,2494.0,Turbo intercooled,3085.0,1835.0,Direct Injection,5.0,144.0,Diesel,Rack and Pinion,Locally Built,1850.0,343.0,4.0,Toyota,Silver,Hilux,Automatic
https://www.carlist.my/used-cars/2015-toyota-hilux-2-5-g-vnt-4x4/7875308,2015.0,86412.0,75800.0,5260.0,2494.0,Turbo intercooled,3085.0,1835.0,Direct Injection,5.0,144.0,Diesel,Rack and Pinion,Locally Built,1850.0,343.0,4.0,Toyota,Silver,Hilux,Automatic
https://www.carlist.my/used-cars/2015-toyota-hilux-2-5-g-trd-sportivo-vnt-pickup-truck-fully-modify-one-owner/7808113,2015.0,90000.0,82800.0,5260.0,2494.0,Turbo intercooled,3085.0,1835.0,Direct Injection,5.0,144.0,Diesel,Rack and Pinion,Locally Built,1850.0,343.0,4.0,Toyota,White,Hilux,Automatic
https://www.carlist.my/used-cars/2006-toyota-hilux-2-5l-g-dual-cab-pickup-truck-a-good-condition/7900846,2006.0,110000.0,42800.0,5255.0,2494.0,Turbo intercooled,3085.0,1835.0,Direct Injection,5.0,102.0,Diesel,Rack and Pinion,Locally Built,1810.0,260.0,4.0,Toyota,Black,Hilux,Manual
https://www.carlist.my/used-cars/2008-toyota-hilux-2-5-g-one-owner-nice-number-bkb202/7890860,2008.0,185000.0,48800.0,5255.0,2494.0,Turbo intercooled,3085.0,1835.0,Direct Injection,5.0,102.0,Diesel,Rack and Pinion,Locally Built,1810.0,260.0,4.0,Toyota,Silver,Hilux,Automatic
https://www.carlist.my/used-cars/2003-toyota-hilux-2-5-sr-turbo-pickup-truck-a-tip-top-condition-low-processing-fees/7846657,2003.0,165000.0,29800.0,4915.0,2494.0,Turbocharged,2860.0,1790.0,Direct Injection,5.0,102.0,Diesel,Recirculating Ball,Official Import,1780.0,260.0,4.0,Toyota,Blue,Hilux,Automatic
https://www.carlist.my/used-cars/careful-owner-trunk-tool-box-clean-interior-well-maintain-no-off-road-use-2007-toyota-hilux-2-5-a-g-diesel-turbo-4x4-pickup-truck/7916695,2007.0,155000.0,47800.0,5255.0,2494.0,Turbo intercooled,3085.0,1835.0,Direct Injection,5.0,102.0,Diesel,Rack and Pinion,Locally Built,1810.0,260.0,4.0,Toyota,Gold,Hilux,Automatic
https://www.carlist.my/used-cars/2010-toyota-hilux-single-cab-2-5-m-no-off-road-tiptop/7879172,2010.0,335000.0,57888.0,5255.0,2494.0,Turbocharged,3085.0,1835.0,Direct Injection,5.0,102.0,Diesel,Rack and Pinion,Locally Built,1810.0,260.0,4.0,Toyota,White,Hilux,Manual
https://www.carlist.my/used-cars/2014-toyota-hilux-2-5-g-vnt-pickup-truck/7790363,2014.0,110000.0,75800.0,5260.0,2494.0,Turbo intercooled,3085.0,1835.0,Direct Injection,5.0,144.0,Diesel,Rack and Pinion,Locally Built,1850.0,343.0,4.0,Toyota,Silver,Hilux,Automatic
